,Conversation,Sentiment,cleaned,Length
886,দায়িত্ব পালনের সময় হয়ে গেছে,positive,দায়িত্ব পালনের সময়,3
887,এইভাবে তাকাচ্ছেন কেন?,negative,এইভাবে তাকাচ্ছেন,2
888,চুপ কর!,negative,চুপ কর,2
889,ভিতরে ঢুকে গেলি?,negative,ভিতরে ঢুকে গেলি,3
890,কখনও কখনও প্রথম দেখাতেই প্রেম হয়,positive,দেখাতেই প্রেম,2
891,"আর তুমি তাকেও মেরে ফেললে, শালা!",negative,তাকেও মেরে ফেললে শালা,4
892,"কুকুর পালতে হলে, ভালো জাতের পালা উচিত",positive,কুকুর পালতে ভালো জাতের পালা,5
893,"তোমাকে কাকে মারতে পাঠিয়েছিলাম, আর কাকে মেরে এসেছ?",negative,কাকে মারতে পাঠিয়েছিলাম কাকে মেরে এসেছ,6
894,আপনারা মজা করেন।,positive,আপনারা মজা,2
895,বাবু মারা গেছে।,negative,বাবু মারা,2
896,জনগণের কাছে ভালো সম্মান আছে তাদের,positive,জনগণের ভালো সম্মান,3
897,বিরক্তিকর!,negative,বিরক্তিকর,1
898,যা মেরে দেখা!,negative,মেরে,1
899,মারবি?,negative,মারবি,1
900,"যদি কোন বেশ্যার ছেলে না হয়ে থাকিস,",negative,বেশ্যার ছেলে থাকিস,3
901,তবে মেরে দেখা।,negative,মেরে,1
902,ধরো ওরে! ধরো শালারে! ,negative,ধরো ওরে ধরো শালারে,4
903,তার বউয়ের মনে হয় অবস্থা খারাপ হয়ে গেছে।,negative,বউয়ের অবস্থা খারাপ,3
904,আমাকে সাহায্য করার জন্য ধন্যবাদ।,positive,সাহায্য ধন্যবাদ,2
905,"শালা, আমার শিকারে হাত দিবি তো হাত ভেঙে দেবো।",negative,শালা শিকারে হাত দিবি হাত ভেঙে দেবো,7
906,"জানিস, আমি কে?",negative,জানিস,1
907,আমি তো ছোটবেলা থেকেই আপনার ভক্ত!,positive,ছোটবেলা ভক্ত,2
908,সত্যি বলছি আমার বয়স ১০ বছর ছিল,positive,সত্যি বলছি বয়স ১০ বছর,5
909,সেদিন থেকে আপনার গল্প শুনছি,positive,সেদিন গল্প শুনছি,3
910,দারুন করেছিলেন,positive,দারুন,1
911,"যে কাজ করবে, সেই তো টাকা পাবে",positive,টাকা পাবে,2
912,"তুমি মারলে, এই হারামীকে কে টাকা দেবে?",negative,মারলে হারামীকে টাকা দেবে,4
913,"ভাগ, শালা।",negative,ভাগ শালা,2
914,অন্যকিছুর ভয় পাচ্ছে,negative,অন্যকিছুর ভয় পাচ্ছে,3
915,আমার আগে তুই ওই তিনজনকে মেরে ফেলবি?,negative,তুই তিনজনকে মেরে ফেলবি,4
916,তবে শিষ্য সবসময় গুরুর চেয়ে চালাক হয়। ,positive,শিষ্য সবসময় গুরুর চেয়ে চালাক,5
917,খুব মজা,positive,মজা,1
918,কী দুর্দশা হবে,negative,দুর্দশা,1
919,ভয় পাবেন না,negative,ভয় পাবেন,2
920,কয়জনকে মেরেছিস? ,negative,কয়জনকে মেরেছিস,2
921,সারা জীবন শুধু মারাই খেয়ে গেলাম,negative,সারা জীবন মারাই খেয়ে গেলাম,5
922,হারামি কে?,negative,হারামি,1
923,সবকিছু কেমন চলছে?,positive,সবকিছু কেমন চলছে,3
924,আর কিছু লাগলে ফোন করব।,positive,লাগলে ফোন করব,3
925,"ওহ, খোদা!",negative,ওহ খোদা,2
926,অনেক সুস্বাদু।,positive,সুস্বাদু,1
927,কুত্তার বাচ্চা,negative,কুত্তার বাচ্চা,2
928,হারামজাদা!,negative,হারামজাদা,1
929,আমি বলেছিলাম ওকে এখানে নিয়ে আসতে,positive,বলেছিলাম আসতে,2
930,কিন্তু শালাটা আমার জায়গা নিতে চায়।,negative,শালাটা জায়গা,2
931,তুই তো হিরো।,positive,তুই হিরো,2
932,চিয়ার্স!,positive,চিয়ার্স,1
933,বাহ! তোমাদের দুজনের কী সুন্দর জুটি হয়েছে,positive,বাহ তোমাদের দুজনের সুন্দর জুটি,5
934,মজা লাগল।,positive,মজা লাগল,2
935,দারুণ দারুণ! ,positive,দারুণ দারুণ,2
936,কী দারুণ ছন্দ বলছ!,positive,দারুণ ছন্দ বলছ,3
937,মনে হয় একে অপরের প্রেমে পড়ে গেছ।,positive,অপরের প্রেমে পড়ে গেছ,4
938,তোমাদের খুশির জন্য আমি এই রাত উৎসর্গ করতে পারি,positive,তোমাদের খুশির রাত উৎসর্গ,4
939,"শালা, তুই আমাকে কী মনে করিস?",negative,শালা তুই করিস,3
940,বদমাইশ!,negative,বদমাইশ,1
941,নাটক বন্ধ কর। শয়তানি করছিলি না তুই?,negative,নাটক বন্ধ কর শয়তানি করছিলি তুই,6
942,স্বাধীন  জীবন,positive,স্বাধীন জীবন,2
943,গরীবের দুঃখ কেবল গরীবই বুঝতে পারে।,negative,গরীবের দুঃখ কেবল গরীবই বুঝতে,5
944,"আমার সম্মান নষ্ট করবে নাকি, শালা?",negative,সম্মান নষ্ট শালা,3
945,সাবাস। সাবাস!,positive,সাবাস সাবাস,2
946,লাথি মার লাথি।,negative,লাথি মার লাথি,3
947,"শালা, তোকে ছাড়ব না।",negative,শালা তোকে ছাড়ব,3
948,"তোর সুযোগ শেষ, তুই সর।",negative,তোর সুযোগ শেষ তুই সর,5
949,খেলায় তো আমি জিতেছি,positive,খেলায় জিতেছি,2
950,খালি হাতে বাড়ি যাওয়া থেকে তো ভাল,positive,খালি হাতে বাড়ি ভাল,4
951,সে নিশ্চয়ই এখন বড় হয়ে গেছে,positive,নিশ্চয়ই বড়,2
952,সে তো মরে গেছে,negative,মরে,1
953,কিন্তু তার কর্মফল একদিন হলেও তার কাছে ফিরে আসে,positive,কর্মফল একদিন আসে,3
954,সব হারামজাদা শালা!,negative,হারামজাদা শালা,2
955,কেঁদে কেঁদে মনে হয় এই রাত কান্নায়,negative,কেঁদে কেঁদে রাত কান্নায়,4
956,আমার জীবন ভিক্ষা দিন,negative,জীবন ভিক্ষা,2
957,আমার জীবন ভিক্ষা দিন! আমি আপনার পায়ে ধরছি,negative,জীবন ভিক্ষা পায়ে ধরছি,4
958,"বাহ, বাহ! কী সুন্দর!",positive,বাহ বাহ সুন্দর,3
959,কী অসাধারণ কথা! বাহ! বাহ!,positive,অসাধারণ বাহ বাহ,3
960,আমার স্ত্রী কবিতা খুব পছন্দ করে।,positive,স্ত্রী কবিতা পছন্দ,3
961,পুড়ে যাওয়া লাশ পাওয়া গেছে,negative,পুড়ে লাশ,2
962,"যথেষ্ট হয়েছে! ভাগ, এখান থেকে।",negative,ভাগ এখান,2
963,উনি এমনিতেই ভয়ে আছে!,negative,এমনিতেই ভয়ে,2
964," তোমাকে জিজ্ঞেস করেছি, ওটা কে ছিল?",negative,জিজ্ঞেস করেছি ওটা,3
965,চুপ করেন!,negative,চুপ,1
966,খালি বড়ো বড়ো কথা!,negative,খালি বড়ো বড়ো,3
967,এখন পালিয়ে যাচ্ছিস কেন?,negative,পালিয়ে যাচ্ছিস,2
968,হারামজাদা কোথাকার!,negative,হারামজাদা কোথাকার,2
969,"চুপ কর, নাহলে তোর মুখ ভেঙে দেবো।",negative,চুপ কর নাহলে তোর মুখ ভেঙে দেবো,7
970,তুই আমার মুখ ভেঙে দিবি! কীভাবে বললি?,negative,তুই মুখ ভেঙে দিবি কীভাবে বললি,6
971,"হারামজাদা, হারামি",negative,হারামজাদা হারামি,2
972,আমার কিছুই ফেলতে পারবি না তুই!,negative,ফেলতে পারবি তুই,3
973,তোর এতো সাহস কীভাবে হলো?,negative,তোর এতো সাহস কীভাবে,4
974,"প্রথমে জানলে, তোরে মেরে মেরে খুনই করে ফেলতাম।",negative,প্রথমে জানলে তোরে মেরে মেরে খুনই ফেলতাম,7
975,খুব সুন্দর ঘ্রাণ আসে।,positive,সুন্দর ঘ্রাণ আসে,3
976,আহা,positive,আহা,1
977,একবার যদি ওকে পাই না!,negative,পাই,1
978,নিজের সিকিউরিটির জন্য পুরো দলকে সাথে রেখেছে,positive,সিকিউরিটির পুরো দলকে রেখেছে,4
979,"মারতে চাইলে মেরে ফেলো, কিন্তু এভাবে মেরো না",negative,মারতে চাইলে মেরে ফেলো এভাবে মেরো,6
980,তুমি আমার ভাইয়ের মতো,positive,ভাইয়ের,1
981,"তুমি আমাকে বোন বলে ডেকেছ, তাই না",positive,বোন ডেকেছ,2
982,কুত্তার বাচ্চা!,negative,কুত্তার বাচ্চা,2
983,"হারামজাদা, এভাবে মারিস না!",negative,হারামজাদা এভাবে মারিস,3
984,শালা আমাকে গুলি করেছে।,negative,শালা,1
985,হারামী মরে গেলে কী হতো?,negative,হারামী মরে হতো,3
986,আমার নাম ধরে রাখার জন্য কাউকে তো লাগবে।,positive,নাম রাখার লাগবে,3
987,আমার জন্যই সে তার প্রথম কাজ করেছিল।,positive,জন্যই করেছিল,2
988,"আমাকে তো বলেছিল, সে প্রথম কাজ দুই হাজার টাকায় করেছিল।",positive,বলেছিল টাকায় করেছিল,3
989,খুব ব্যথা করছে,negative,ব্যথা,1
990,আমি তাড়াতাড়ি আসার চেষ্টা করব,positive,তাড়াতাড়ি আসার করব,3
991,তখনই আমরা ওকে খুন করব।,negative,তখনই খুন করব,3
992,আমিও আপনাকে কিছু বলতে চাই।,positive,আমিও চাই,2
993,আমার একটা মেয়ে হয়েছে।,positive,মেয়ে,1
994,ভগবান ওর মঙ্গল করুক।,positive,ভগবান মঙ্গল করুক,3
995,তোমার মৃত্যুর খবর পাওয়ার পরেই তাকে বলেছিলাম,negative,মৃত্যুর খবর পাওয়ার বলেছিলাম,4
996,ওকে মেরে ফেলেছে!,negative,মেরে ফেলেছে,2
997,"যথেষ্ট হয়েছে, তোমরা দুজনেই চলে যাও।",positive,তোমরা দুজনেই যাও,3
998,আপনার মাথা খারাপ হয়ে গেছে?,negative,মাথা খারাপ,2
999,"আচ্ছা শোনো, আমি নিজের বাড়ি যাচ্ছি।",positive,আচ্ছা শোনো বাড়ি যাচ্ছি,4
1000,পাগল মনে করেছেন আমাকে?,negative,পাগল,1
1001,তুই আমাকে মিথ্যে বলেছিলি কেন?,negative,তুই মিথ্যে বলেছিলি,3
1002,বাড়িটা খুবই ভালো।,positive,বাড়িটা খুবই ভালো,3
1003,আমরা একে অপরকে ভালোবাসি,positive,অপরকে ভালোবাসি,2
1004,"গতকাল যা হয়েছিল, তা আবার যেন না হয়।",negative,গতকাল,1
1005,কাজ শেষ হয়ে গেলেই ফিরে আসব।,positive,শেষ গেলেই আসব,3
1006,নিশ্চয়ই তোমার ওই বান্ধবী বলে দিয়েছে,positive,নিশ্চয়ই বান্ধবী,2
1007,তোমাকে বলেছিলাম ওকে খুন করতে,positive,বলেছিলাম খুন,2
1008,একবার গুলি করে ৮ বছর শান্তিতে ঘুমাতে পারিনি,negative,৮ বছর শান্তিতে ঘুমাতে পারিনি,5
1009,"যে মারা যাবে, সে হেরে যাবে",negative,মারা হেরে,2
1010,এটা বন্ধ করো।,negative,বন্ধ,1
1011,এটা কী ধরণের নৃশংসতা?,negative,ধরণের নৃশংসতা,2
1012,আমাদের এটি একটি সক্রিয় হাসপাতাল।,positive,সক্রিয় হাসপাতাল,2
1013,খুন! খুন!খুন হয়েছেন,negative,খুন খুন খুন হয়েছেন,4
1014,আমাদের চ্যানেল একেবারে সামনে আছে,positive,চ্যানেল একেবারে,2
1015,কিন্তু আমি তোমাকে টিভি তে দেখতে পাচ্ছি না,positive,টিভি তে পাচ্ছি,3
1016,তীব্র রোদে কাজ করতে করতে চুল সব গেছে,negative,তীব্র রোদে চুল,3
1017,আচ্ছা কল এসেছে। আমি পরে ফোন করবো।,positive,আচ্ছা কল এসেছে ফোন করবো,5
1018,আচ্ছা একটু অপেক্ষা করো,positive,আচ্ছা একটু অপেক্ষা,3
1019,আমি এর বদলা নিবোই!,negative,বদলা নিবোই,2
1020,শোকে আচ্ছন্ন,negative,শোকে আচ্ছন্ন,2
1021,আমি একটু ঘুম যাই,positive,একটু ঘুম যাই,3
1022,"শুভ সকাল, ম্যাডাম।",positive,শুভ সকাল ম্যাডাম,3
1023,ও আমার সাথে অসভ্যতা করছে।,negative,অসভ্যতা,1
1024,দেখতে সুন্দরী হওয়ায় একটু চিমটি কেটেছি,positive,সুন্দরী হওয়ায় একটু চিমটি কেটেছি,5
1025,তুমি মদ খেয়েছ?,negative,মদ খেয়েছ,2
1026,বেরিয়ে যাও আমার ক্লাস থেকে,negative,বেরিয়ে যাও ক্লাস,3
1027,আপনি বিষয়টাকে এত সহজ ভাবে নিচ্ছেন দেখে অবাক হচ্ছি,positive,বিষয়টাকে সহজ নিচ্ছেন অবাক হচ্ছি,5
1028,"আমি দুঃখিত, স্যার",negative,দুঃখিত স্যার,2
1029,গতকাল পড়তে আসোনি কেন?,negative,গতকাল পড়তে আসোনি,3
1030,একজন একা মা হয়েও তিনটে ফুটফুটে শিশুকে তুই লালন পালন করেছিস,positive,একজন একা হয়েও তিনটে ফুটফুটে শিশুকে তুই লালন পালন করেছিস,10
1031,অন্যের বাচ্চাকে নিজের বাচ্চা মনে করে বড় করছিস,positive,অন্যের বাচ্চাকে বাচ্চা বড় করছিস,5
1032,সত্যিই তুই অনেক বড় মনের মানুষ।,positive,সত্যিই তুই বড় মনের মানুষ,5
1033,এত অল্প বয়সেই আপনার পুত্রবধু বিধবা হয়ে গেল।,negative,অল্প বয়সেই পুত্রবধু বিধবা,4
1034,দিন দিন রুপির মূল্য কমে যাচ্ছে।,positive,রুপির মূল্য কমে,3
1035,আমরা সবাই গর্বিত,positive,সবাই গর্বিত,2
1036,খুব ভালো একটা দিন,positive,ভালো,1
1037,"শুভ সকাল, স্যার!",positive,শুভ সকাল স্যার,3
1038,সবাই দুশ্চিন্তায় আছে,negative,সবাই দুশ্চিন্তায়,2
1039,দু'জনের জীবনই ঝুঁকিতে আছে।,negative,জীবনই ঝুঁকিতে,2
1040,ঠান্ডায় আপনার হাত কাঁপছে।,negative,ঠান্ডায় হাত কাঁপছে,3
1041,মজাই আলাদা,positive,মজাই আলাদা,2
1042,শ্বাস বন্ধ হয়ে মারা যাব,negative,শ্বাস বন্ধ মারা যাব,4
1043,আমি শান্তিতে মরতে চাই,negative,শান্তিতে মরতে চাই,3
1044,সবাইকে শুভ সন্ধ্যা।,positive,সবাইকে শুভ সন্ধ্যা,3
1045,আপনারা আমাদের অনুপ্রেরণা।,positive,আপনারা অনুপ্রেরণা,2
1046,আপনারাই সত্যিকারের হিরো।,positive,আপনারাই সত্যিকারের হিরো,3
1047,সে নাচতে ভালবাসে,positive,নাচতে ভালবাসে,2
1048,ছেলেটা সত্যিই ভালো।,positive,ছেলেটা সত্যিই ভালো,3
1049,তোর বোনের জন্য আমি একটা পাত্র ঠিক করেছি,positive,তোর বোনের পাত্র করেছি,4
1050,সত্যিই আমার বোন ভাগ্যবতী,positive,সত্যিই বোন ভাগ্যবতী,3
1051,সে তো খুব খুশি।,positive,খুশি,1
1052,"আমি খুব খুশি, মা।",positive,খুশি,1
1053,আমি তোদের এক এক করে মারব,negative,তোদের এক এক মারব,4
1054,আমার উপহার কেমন লাগলো?,positive,উপহার কেমন লাগলো,3
1055,খুব বাজে গালি দিয়েছিস।,negative,বাজে গালি দিয়েছিস,3
1056,থমে আপনার শ্বাসরোধ করবে আর তারপর গলা কাটবে,negative,থমে শ্বাসরোধ গলা কাটবে,4
1057,সে গুরুতর আহত এবং বেঁচে থাকার সম্ভাবনা খুব কম।,negative,গুরুতর আহত বেঁচে থাকার সম্ভাবনা কম,6
1058,তার ভাইও এখন গুরুতর অবস্থায়।,negative,ভাইও গুরুতর অবস্থায়,3
1059,দেশের জন্যে প্রাণ দিয়েছে,negative,দেশের জন্যে প্রাণ দিয়েছে,4
1060,২ দিন আগে আমার সাথে দেখা করে তার বোনের বিয়ের ব্যাপারে বলেছিল,positive,২ বোনের বিয়ের বলেছিল,4
1061,আমি সত্যি খুব খুশি হব,positive,সত্যি খুশি হব,3
1062,তার পুরো পরিবার ভেঙে পড়বে।,negative,পুরো পরিবার ভেঙে পড়বে,4
1063,"যদি নৈতিক দিক বিবেচনা করি, আমাদের মধ্যে একজন বিয়েতে উপস্থিত হবে এবং বিয়ের কাজটা সেরে ফেলতে বলবে",positive,নৈতিক দিক বিবেচনা একজন বিয়েতে উপস্থিত বিয়ের কাজটা সেরে ফেলতে বলবে,11
1064,আমি বলব নৈতিকতা,positive,বলব নৈতিকতা,2
1065,আমার সাহসী ছেলে,positive,সাহসী ছেলে,2
1066,ভীষণ রোমাঞ্চকর,positive,ভীষণ রোমাঞ্চকর,2
1067,শান্তিপূর্ণ জীবন,positive,শান্তিপূর্ণ জীবন,2
1068,জানেন কেন আপনাকে এখানে নিয়ে এসেছি,positive,জানেন এসেছি,2
1069,"যেমন কর্ম, তেমন ফল",positive,কর্ম ফল,2
1070,ভুলভাল সব পড়িয়ে আমার বাবার কাছ থেকে টাকা হাতিয়েছেন,positive,ভুলভাল পড়িয়ে বাবার টাকা হাতিয়েছেন,5
1071,এখনও ওর সাথে কথা বলছিস কেন?,negative,বলছিস,1
1072,বড় মানুষ হিসেবে আমাদের উচিত এসব মীমাংসা করে নেওয়া,positive,বড় মানুষ হিসেবে এসব মীমাংসা,5
1073,চলুন কথা বলি,positive,চলুন বলি,2
1074,ক্ষমতার বলে যা ইচ্ছা তাই করেছেন,negative,ক্ষমতার ইচ্ছা,2
1075,আপনাকে জেলে ঢোকাব।,negative,জেলে ঢোকাব,2
1076,আমার মনে হয় না এসব সত্যি,positive,এসব সত্যি,2
1077,আপনার বালের শিক্ষা!,negative,বালের শিক্ষা,2
1078,আমার বিপক্ষে যাওয়ার জন্যে সত্যিই সাহসের প্রয়োজন,positive,বিপক্ষে যাওয়ার জন্যে সত্যিই সাহসের প্রয়োজন,6
1079,সূর্য ধীরে ধীরে অস্ত যাবে,positive,সূর্য ধীরে ধীরে অস্ত,4
1080,আমরা হলাম কনে পক্ষ,positive,হলাম কনে পক্ষ,3
1081,আমার ছেলের রাশিতে কিছু সমস্যা ছিল,negative,ছেলের রাশিতে সমস্যা,3
1082,খুব সুন্দর!,positive,সুন্দর,1
1083,আমাকে বিয়ে করতে বাধ্য করা হয়েছিল,negative,বিয়ে বাধ্য হয়েছিল,3
1084,অনেক অপমানই সহ্য করতে হয়,negative,অপমানই সহ্য,2
1085,এই গাঁধাটাকে কে বিয়ে করবে,negative,গাঁধাটাকে বিয়ে,2
1086,"আমাদের বোন যেন আমাদের মত দূর্ভাগা না হয়, সেটা আমাদেরকেই নিশ্চিত করতে হবে",positive,বোন মত দূর্ভাগা আমাদেরকেই নিশ্চিত,5
1087,সে তো খুবই সুন্দর!,positive,খুবই সুন্দর,2
1088,একটা সুদর্শন ছেলে,positive,সুদর্শন ছেলে,2
1089,আমি আপনাকে ভালোবাসি,positive,ভালোবাসি,1
1090,কিন্তু আমি তো বিবাহিত,positive,বিবাহিত,1
1091,আপনার দ্বিতীয় স্ত্রী হতে আমার কোনো আপত্তি নেই,positive,দ্বিতীয় স্ত্রী আপত্তি,3
1092,"আপনার উচিত এই বিয়েটা বাতিল করে, আমাদেরকে সমর্থন জানানো",positive,বিয়েটা বাতিল আমাদেরকে সমর্থন,4
1093,হাঁটুতে ব্যথা করছে,negative,হাঁটুতে ব্যথা,2
1094,শরীরে ব্যথা করছে,negative,শরীরে ব্যথা,2
1095,ভালোবাসার সাথে ফিটনেসের কোনো সম্পর্ক নেই,positive,ভালোবাসার ফিটনেসের সম্পর্ক,3
1096,তার মৃত্যু নিশ্চিত,negative,মৃত্যু নিশ্চিত,2
1097,সুন্দর! মিষ্টি!,positive,সুন্দর মিষ্টি,2
1098,সৃষ্টিকর্তাকে ধন্যবাদ!,positive,সৃষ্টিকর্তাকে ধন্যবাদ,2
1099,হাত ধরার মাধ্যমে তাদের অর্ধেক বিয়ে হয়ে গেছে,positive,হাত ধরার অর্ধেক বিয়ে,4
1100,আমাদের কষ্টের কথা জানলে তুমি এভাবে বলতে না,negative,কষ্টের জানলে এভাবে,3
1101,আমার স্বামী খুব খারাপ লোক।,negative,স্বামী খারাপ লোক,3
1102,সে আমার উপর খুব নির্যাতন করে।,negative,নির্যাতন,1
1103,বাকিটা আমাকে বলতে দাও,positive,বাকিটা দাও,2
1104,বাহ! তুমি তো বেশ বুদ্ধিমান।,positive,বাহ বুদ্ধিমান,2
1105,তুই খুব ভাগ্যবতী রে।,positive,তুই ভাগ্যবতী রে,3
1106,আমিও সেটা বিবেচনা করেই রাজি হয়ে গিয়েছিলাম,positive,আমিও বিবেচনা রাজি গিয়েছিলাম,4
1107,তাই তার কথা বিশ্বাস করে আমি কাগজে স্বাক্ষর করে দিয়েছিলাম,positive,বিশ্বাস কাগজে স্বাক্ষর দিয়েছিলাম,4
1108,ভাগ্য ভালো,positive,ভাগ্য ভালো,2
1109,সে বিয়ে করলে আপনিই সবচেয়ে সুখী হবেন,positive,বিয়ে আপনিই সবচেয়ে সুখী,4
1110,বেশ আরামদায়ক,positive,আরামদায়ক,1
1111,আপনি আমার শক্তি। আমার সাহস,positive,শক্তি সাহস,2
1112,কী সুন্দর! কী মিষ্টি!,positive,সুন্দর মিষ্টি,2
1113,কী সুদর্শন!,positive,সুদর্শন,1
1114,আমি ওকে একটা সুন্দর জীবন দিব,positive,সুন্দর জীবন দিব,3
1115,বাহ! কী দারুণ,positive,বাহ দারুণ,2
1116,ওর জন্য একটা হাততালি হয়ে যাক৷,positive,হাততালি যাক৷,2
1117,"যদি এমন কারো মতামত পেতাম, যে এসবের সাথে জড়িত নয়",positive,কারো মতামত পেতাম এসবের জড়িত,5
1118,কী সুন্দর নাটক! ,positive,সুন্দর নাটক,2
1119,ভালো বুদ্ধি৷ ভালো বুদ্ধি। ,positive,ভালো বুদ্ধি৷ ভালো বুদ্ধি,4
1120,লোকটা মারা যাবে তো!,negative,লোকটা মারা,2
1121,আমি নিশ্চিত সে খুশি হবে,positive,নিশ্চিত খুশি,2
1122,তুমি দেখতে একদম আমার মেলায়  হারিয়ে যাওয়া ছেলেটার মতো,positive,একদম মেলায় হারিয়ে ছেলেটার,4
1123,"ও একটা শয়তান মেয়ে, বাবাকে ঠকিয়েছে",negative,শয়তান মেয়ে বাবাকে ঠকিয়েছে,4
1124,তুই একটা চোর৷,negative,তুই চোর৷,2
1125,উনি খুব বিপদে আছেন৷,negative,বিপদে আছেন৷,2
1126,আমাকে ক্ষমা করে দিন,negative,ক্ষমা,1
1127,আপনি মনোযোগ দিচ্ছেন না কেন? ,negative,মনোযোগ দিচ্ছেন,2
1128,বাচ্চারা কাঁদছে,negative,বাচ্চারা কাঁদছে,2
1129,"ওই, কে রে শালা তুই?",negative,রে শালা তুই,3
1130,সবকিছুই পরিকল্পনা মাফিক হবে,positive,সবকিছুই পরিকল্পনা মাফিক,3
1131,তুই কোন নরক থেকে এসেছিস রে?,negative,তুই নরক এসেছিস রে,4
1132,এখানেই মরবি তুই।,negative,মরবি তুই,2
1133,আপনি যা করেছেন তার জন্যে আপনাকে মেরে ফেলা উচিত,negative,জন্যে মেরে ফেলা,3
